Zip Code,City,Zip Code,City,Zip Code,City,Zip Code,City
98001,Algona,98051,Ravendale,98121,Seattle,98194,Seattle
98001,Auburn,98052,Redmond,98122,Seattle,98195,Seattle
98001,Federal Way,98053,Redmond,98124,Seattle,98198,Des Moines
98002,Auburn,98054,Renton,98125,Seattle,98198,Seatac
98003,Federal Way,98055,Renton,98126,Seattle,98198,Seattle
98004,Bellevue,98056,Newcastle,98127,Seattle,98199,Ft Lawton
98004,Clyde HIll,98056,Renton,98133,Shoreline,98199,Seattle
98005,Bellevue,98057,Renton,98133,Seattle,98201,Everett
98006,Bellevue,98058,Renton,98134,Seattle,98203,Everett
98007,Bellevue,98059,Newcastle,98135,Seattle,98204,Everett
98008,Bellevue,98059,Renton,98136,Seattle,98205,Everett
98009,Bellevue,98061,Rolling Bay,98138,Seattle,98206,Everett
98010,Black Diamond,98062,Edmonds,98138,Tukwila,98207,Everett
98011,Bothell,98063,Federal Way,98139,Seattle,98208,Everett
98012,Bothell,98064,Kent,98141,Seattle,98213,Everett
98012,Mill Creek,98065,Snoqualmie,98144,Seattle,98221,Anacortes
98013,Burton,98068,Snoqualmie,98145,Seattle,98223,Arlington
98014,Carnation,98070,Vashon,98146,Burien,98225,Bellingham
98015,Bellevue,98071,Auburn,98146,Seattle,98226,Bellingham
98019,Duvall,98072,Woodinville,98148,Burien,98227,Bellingham
98020,Edmonds,98073,Redmond,98148,Normandy Park,98228,Bellingham
98021,Bothell,98074,Sammamish,98148,Seatac,98229,Bellingham
98022,Enumclaw,98075,Sammamish,98148,Seattle,98230,Blaine
98023,Federal Way,98077,Woodinville,98154,Seattle,98233,Burlington
98024,Fall City,98082,Mill Creek,98155,Lake Forest Park,98236,Clinton
98025,Hobart,98083,Kirkland,98155,Seattle,98238,Conway
98026,Edmonds,98087,Lynnwood,98155,Shoreline,98239,Coupeville
98027,Issaquah,98088,Bellevue,98158,Seatac,98240,Custer
98028,Kenmore,98089,Kent,98158,Seattle,98241,Darrington
98029,Issaquah,98092,Auburn,98160,Seattle,98248,Ferndale
98030,Kent,98093,Federal Way,98161,Seattle,98249,Freeland
98031,Kent,98099,Bellevue,98164,Seattle,98251,Gold Bar
98032,Kent,98101,Seattle,98165,Seattle,98252,Granite Falls
98033,Kirkland,98102,Seattle,98166,Burien,98253,Greenbank
98034,Kirkland,98103,Seattle,98166,Normandy Park,98257,La Conner
98035,Kent,98104,Seattle,98166,Seattle,98257,Laconner
98036,Brier,98105,Seattle,98168,Seattle,98258,Lake Stevens
98036,Lynnwood,98106,Seattle,98168,Tukwila,98259,North Lakewood
98037,Lynnwood,98107,Seattle,98174,Seattle,98260,Langley
98038,Maple Valley,98108,Seattle,98175,Seattle,98264,Lynden
98039,Medina,98109,Seattle,98177,Seattle,98460,Tacoma
98040,Mercer Island,98110,Bainbridge Is.,98177,Shoreline,98464,Tacoma
98041,Bothell,98111,Seattle,98178,Seattle,98464,University Place
98042,Covington,98112,Seattle,98178,Tukwila,98465,Tacoma
98042,Kent,98113,Seattle,98181,Seattle,98466,Fircrest
98043,Mountlake Terrace,98114,Seattle,98188,Seatac,98466,Tacoma
98045,North Bend,98115,Seattle,98188,Seattle,98275,Mukilteo
98046,Lynnwood,98116,Seattle,98391,Bonney Lake,98277,Oak Harbor
98047,Auburn,98340,Hansville,98392,Suquamish,98278,Oak Harbor
98270,Marysville,98342,Indianola,98393,Tracyton,98282,Camano Island
98271,Marysville,98344,Kapowsin,98394,Vaughn,98284,Sedro Woolley
98272,Monroe,98345,Keyport,98395,Wauna,98287,Silvana
98273,Mount Vernon,98346,Kingston,98396,Wilkeson,98290,Snohomish
98274,Mount Vernon,98117,Seattle,98188,Tukwila,98291,Snohomish
98047,Pacific,98118,Seattle,98190,Seattle,98292,Stanwood
98050,Preston,98119,Seattle,98191,Seattle,98293,Startup
Zip Code,City,Zip Code,City,Zip Code,City,Zip Code,City
98294,Sultan,98375,Puyallup,98467,Tacoma,98583,Satsop
98296,Snohomish,98377,Randle,98467,University Place,98584,Shelton
98304,Ashford,98378,Retsil,98477,Tacoma,98585,Silver Creek
98309,Lacey,98380,Seabeck,98490,Tacoma,98587,Yelm
98310,Bremerton,98383,Silverdale,98492,Tillicum,98588,Tahuya
98311,Bremerton,98384,South Colby,98493,Tacoma,98589,Tenino
98312,Bremerton,98385,South Prairie,98496,Lakewood,98591,Toledo
98314,Bremerton,98386,Southworth,98497,Tacoma,98592,Union
98315,Silverdale,98387,Spanaway,98498,Lakewood,98593,Vader
98321,Buckley,98388,Steilacoom,98498,Tacoma,98595,Westport
98322,Burley,98390,Bonney Lake,98499,JBLM,98596,Chehalis
98323,Carbonado,98390,Sumner,98499,Lakewood,98596,Winlock
98327,Dupont,98401,Tacoma,98499,Tacoma,98597,Yelm
98328,Eatonville,98402,Tacoma,98501,Olympia,,
98329,Gig Harbor,98403,Tacoma,98501,Tumwater,,
98330,Elbe,98404,Tacoma,98502,Olympia,,
98332,Gig Harbor,98405,Tacoma,98503,Lacey,,
98333,Fox Island,98406,Tacoma,98503,Olympia,,
98335,Gig Harbor,98407,Tacoma,98504,Olympia,,
98336,Gig Harbor,98408,Tacoma,98505,Olympia,,
98336,Glenoma,98409,Lakewood,98506,Olympia,,
98337,Bremerton,98409,Tacoma,98507,Olympia,,
98337,Gorst,98411,Tacoma,98508,Olympia,,
98338,Graham,98412,Tacoma,98509,Lacey,,
98539,Doty,98413,Tacoma,98509,Olympia,,
98540,East Olympia,98415,Tacoma,98511,Tumwater,,
98541,Elma,98416,Tacoma,98512,Olympia,,
98542,Ethel,98417,Tacoma,98512,Tumwater,,
98544,Galvin,98418,Tacoma,98513,Lacey,,
98546,Grapeview,98419,Tacoma,98513,Olympia,,
98547,Grayland,98421,Tacoma,98516,Lacey,,
98550,Hoquiam,98422,Tacoma,98516,Olympia,,
98556,Littlerock,98424,Fife,98520,Aberdeen,,
98348,La Grande,98424,Tacoma,98522,Adna,,
98348,Lagrande,98425,Fife,98524,Allyn,,
98349,Lakebay,98430,Camp Murray,98528,Belfair,,
98351,Lakebay,98430,Tacoma,98530,Bucoda,,
98351,Longbranch,98431,Tacoma,98531,Centralia,,
98352,Sumner,98432,Kent,98532,Chehalis,,
98353,Manchester,98433,JBLM,98533,Cinebar,,
98354,Milton,98433,Tacoma,98537,Cosmopolis,,
98355,Mineral,98438,JBLM,98538,Curtis,,
98356,Morton,98438,Tacoma,98557,Mccleary,,
98359,Olalla,98439,JBLM,98558,Mckenna,,
98360,Orting,98439,Lakewood,98559,Malone,,
98361,Packwood,98439,Tacoma,98563,Montesano,,
98364,Port Gamble,98442,Tacoma,98564,Mossyrock,,
98366,Port Orchard,98443,Tacoma,98565,Napavine,,
98367,Port Orchard,98444,Parkland,98568,Oakville,,
98370,Poulsbo,98444,Tacoma,98569,Ocean Shores,,
98371,Edgewood,98445,Tacoma,98570,Onalaska,,
98371,Puyallup,98446,Tacoma,98572,Pe Ell,,
98372,Edgewood,98447,Tacoma,98576,Rainier,,
98372,Puyallup,98448,Parkland,98579,Rochester,,
98373,Puyallup,98448,Tacoma,98580,Roy,,
98374,Puyallup,98466,University Place,98582,Salkum,,
